	domain	number
	bbrtpvqpfi	4
	daisy.ubuntu.com	11
	impcjqgppm	4
	iozpjkitfv	4
	master1.teamviewer.com	8
	nbqsihekty	4
	ping3.teamviewer.com	16
	pnghubsxwz	4
	videosearch.ubuntu.com	16
	www.google.com	1
	xjtflqsigb	4
